[-1.1184888343724746e-05, array([1.05076639e-05]), array([1.3785236e-05])]
[-1.1186996891185973e-05, array([1.05688357e-05]), array([1.38401343e-05])]
[-1.118858786771915e-05, array([1.0614992e-05]), array([1.38469456e-05])]
[-1.1193578994950938e-05, array([1.06189171e-05]), array([1.38765296e-05])]
[-1.1194808660497095e-05, array([1.06198841e-05]), array([1.38838182e-05])]
[-1.120709748580897e-05, array([1.06473172e-05]), array([1.39380438e-05])]
[-1.1259718892934956e-05, array([1.06539763e-05]), array([1.39634308e-05])]
[-1.1409998992153488e-05, array([1.06956143e-05]), array([1.40359332e-05])]
[-1.1572231415202185e-05, array([1.07405639e-05]), array([1.40555698e-05])]
[-1.1578413662798161e-05, array([1.07651224e-05]), array([1.40662984e-05])]
[-1.1588999627060011e-05, array([1.07938858e-05]), array([1.40912837e-05])]
[-1.1609915039620015e-05, array([1.08374669e-05]), array([1.41291406e-05])]
[-1.1622006659422986e-05, array([1.08626621e-05]), array([1.41387513e-05])]
[-1.1630106242458553e-05, array([1.08814993e-05]), array([1.41459368e-05])]
[-1.1634343245204226e-05, array([1.0926839e-05]), array([1.41526495e-05])]
[-1.1660513252808728e-05, array([1.12068814e-05]), array([1.4194111e-05])]
[-1.1706701706088454e-05, array([1.12331776e-05]), array([1.42010345e-05])]
[-1.1754511896004193e-05, array([1.12603972e-05]), array([1.4208201e-05])]
[-1.1787483876967688e-05, array([1.12791689e-05]), array([1.42473795e-05])]
[-1.1794863817693935e-05, array([1.1320853e-05]), array([1.42667926e-05])]
[-1.1804282740170197e-05, array([1.13804979e-05]), array([1.42945704e-05])]
[-1.1823310132911035e-05, array([1.1500988e-05]), array([1.43495828e-05])]
[-1.1827192349414093e-05, array([1.1525572e-05]), array([1.44006184e-05])]
[-1.1831502918996579e-05, array([1.15448696e-05]), array([1.44572852e-05])]
[-1.1863345206739047e-05, array([1.15708162e-05]), array([1.45334764e-05])]
[-1.1915552279444545e-05, array([1.1586649e-05]), array([1.45631962e-05])]
[-1.2014198901193361e-05, array([1.16242087e-05]), array([1.46193524e-05])]
[-1.2154778218391696e-05, array([1.16637105e-05]), array([1.4666867e-05])]
[-1.216248254640575e-05, array([1.17098482e-05]), array([1.47075605e-05])]
[-1.2168928510546544e-05, array([1.17651866e-05]), array([1.47416075e-05])]
[-1.220511395317536e-05, array([1.19915377e-05]), array([1.47889642e-05])]
[-1.2215654487164166e-05, array([1.2057472e-05]), array([1.48027588e-05])]
[-1.2252212038118543e-05, array([1.20978703e-05]), array([1.48506025e-05])]
